"id";"nom";"ville";"cp";"adresse";"mail";"tel";"activite";"active"
1;"Ecole Maternelle Françoise Dolto";"Melun";77000;"30 avenue Georges Pompidou";"";"01 64 64 04 20";"Enseignement";1
2;"Groupe Adéquat";"Vert-Saint-Denis";77240;"390 avenue Anna Lindh";"agence.vsd@groupeadequat.fr";"06 46 64 27 82";"Autre";1
3;"Le Pain Gourmand";"Melun";77000;"47 avenue Georges Pompidou";"";"07 50 60 12 06";"commerce/Distribution";1
4;"Franco Pizz";"Melun";77000;"14 route de Montereau";"";"01 64 37 55 07";"Commerce/Distribution";1
5;"Papa Grill";"Melun";77000;"26 Boulevard Gambetta";"";"01 60 68 27 01";"Hôtellerie/Restauration";1
6;"Ecole Primaire Jules Ferry";"Melun";77000;"Rue Jules Ferry ";"";"01 64 38 99 78 ";"Enseignement";1
7;"Tribunal de Grande Instance";"Melun";77010;"2 avenue du Général Leclerc";"";"01 64 79 81 64";"Droit/Justice";1
8;"Baildy Group";"Melun";77000;"1 place Loïc Baron";"";"01 60 66 88 50";"Multimedia/Audiovisuel/Informatique ";1
9;"Relay Gare";"Melun";77000;"Place Callieni";"";"01 64 39 33 21";"Commerce/Distribution";1
10;"Micro Crèche Les P’tis Petons";"St-Germain-Laxis";77950;"3 bis rue de l’église";"";"09 82 42 27 12";"Sciences humaines ";1
11;"Diarra Institut";"Melun";77000;"Mail Gaillardon";"";"01 64 09 81 17";"Commerce/Distribution ";1
12;"Menuiserie";"Corbeil Essonnes";91100;"21 rue du Champ d’Epreuves";"";"01 60 88 25 59";"Industrie";1
13;"Sodiaal International";"Paris Cedex 14";75680;"170 bis Boulevard du Montparnasse";"";"01 44 10 90 10";"Industrie";1
14;"Intermarché";"Melun";77000;"36 avenue du Général Patton";"";"01 60 56 00 90";"Commerce/Distribution";1
15;"Orange";"Paris Cedex 14";75012;"187 avenue Daumesnil";"";"07 87 16 06 59";"Multimedia/Audiovisuel/Informatique ";1
16;"TMC télécommandes mécaniques par câble";"Le Mée-Sur-Seine";77350;"Rue Jean-Baptiste Colbert";"";"01 60 56 56 56";"Transports/Automobile ";1
17;"Sobeca";"Vert-Saint-Denis";77240;"581 avenue de l’Europe";"";"01 64 52 04 30";"Bâtiment/Construction ";1
18;"Carrefour ";"Evry";91006;"9 avenue du Lac Bois Briard Mermoz 6 Bat. K1";"";"01 69 64 64 00 ";"Commerce/Distribution";1
19;"Banque de France ";"Paris ";75001;"31 rue Croix des Petits Champs";"";"01 64 87 67 03";"Banque/Assurance ";1
20;"Les Plaisirs Parisiens";"Melun";77000;"40 Boulevard de l’Almont";"";"01 64 87 67 03";"Commerce/Distribution";1
21;"ND Logistics";"Le Coudray-Montceaux";91830;"9-11 rue des Haies Blanches";"";"01 69 90 70 26";"Logistique ";1
22;"Banque de France ";"Melun";77000;"24 rue St Ambroise";"";"01 64 87 67 00 ";"Banque/Assurance ";1
